Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,"9,248,106","9,648,759","10,092,587","9,435,483","9,907,492","10,628,336","6,905,613","1,070,418","10,745,369","10,753,041","7,548,099","7,323,041","8,076,431","9,209,549","8,758,288","9,697,923","10,557,837","1,105,956","10,776,185","13,242,337","13,323,403","7,756,377","10,125,124","10,463,697","11,364,287","11,989,268","12,369,834","11,119,317","1,084,411","13,292,496","14,183,818","12,293,073","111,749","11,189,469"
Afghanistan,"5,478,004","5,991,933","3,769,483","4,926,589","5,983,562","3,464,671","3,542,906","3,649,165","3,921,413","3,991,171","3,119,869","320,279","2,484,132","244,168","2,132,761","2,719,411","2,870,456","3,598,475","6,605,092","8,634,049","9,667,278","14,099,943","10,706,566","8,615,245","7,907,508","8,313,081","7,331,715","7,653,654","7,437,925","6,541,645","6,519,002","9,246,832","10,271,546","11,326,307"
Angola,"13,068,204","13,573,346","14,829,153","19,544,243","18,251,437","17,891,475","1,907,269","18,599,635","18,453,287","19,114,068","16,984,481","15,983,464","13,821,385","14,612,589","13,444,504","10,332,472","9,666,217","8,860,525","8,934,582","9,770,872","10,091,947","10,143,676","9,766,671","10,743,103","11,094,006","11,776,751","11,426,941","10,220,714","9,733,149","10,292,602","8,192,962","9,875,214","10,376,274","10,618,028"
Anguilla,"2,243,821","361,643","2,851,639","3,461,443","4,445,653","5,534,698","567,549","4,775,202","3,809,812","3,313,586","4,606,578","4,762,347","3,656,257","4,012,201","3,383,931","2,841,513","251,548","2,053,107","2,518,601","4,645,626","5,711,092","6,194,907","6,700,062","8,363,239","8,785,935","10,189,292","11,406,103","1,349,011","17,047,337","11,098,193","9,785,205","8,947,286","7,834,812","7,266,529"
Albania,"37,595,638","3,441,492","2,000,724","17,177,028","16,726,336","13,033,893","11,859,991","10,239,866","11,398,692","16,277,216","15,939,652","15,660,405","17,450,836","17,382,159","17,267,117","15,378,382","14,472,953","14,018,183","12,887,268","12,706,794","1,306,164","13,943,169","12,493,283","13,014,643","13,663,172","12,757,243","11,501,839","13,064,675","1,247,536","11,409,394","10,863,461","11,021,497","9,613,471","9,259,195"
Curaçao,"78,737,247","79,756,973","81,746,696","66,277,752","7,248,095","70,465,311","68,862,686","129,623,318","128,964,841","122,393,026","124,035,262","124,658,043","118,911,836","118,925,247","123,112,439","128,286,886","123,413,153","130,412,371","126,377,315","120,482,402","87,812,601","11,254,541","11,464,295","105,787,713","117,400,918","118,367,591","10,363,869","84,697,152","69,783,933","55,940,108","55,842,319","58,455,829","56,180,206","51,967,906"
United Arab Emirates,"27,734,334","31,284,876","29,243,377","30,445,791","3,135,704","31,349,228","30,966,477","29,829,066","30,510,114","30,566,526","27,358,883","3,088,641","30,825,362","2,978,287","28,731,225","29,173,815","27,588,079","28,827,401","33,457,495","35,541,938","36,381,207","35,309,923","36,194,584","36,296,697","35,377,913","34,588,601","33,654,392","32,155,448","29,065,435","30,373,801","31,610,101","31,195,005","297,252","2,862,052"
Argentina,"17,979,653","17,363,811","1,637,918","15,666,749","15,256,319","15,920,141","16,423,124","15,713,761","15,949,597","16,739,443","16,489,505","16,567,081","17,560,443","17,589,903","17,861,465","16,841,534","1,649,375","16,111,367","16,033,711","1,567,391","15,310,691","15,051,706","15,536,127","1,552,256","15,662,448","15,740,946","15,904,825","15,246,488","15,530,271","15,300,404","15,761,774","15,954,931","15,426,297","14,883,427"
Armenia,"95,314,938","112,193,674","97,970,569","50,061,395","26,075,976","30,758,643","21,283,485","26,510,057","25,699,734","22,239,398","24,148,937","22,426,931","16,910,982","1,660,082","16,271,493","169,592","14,924,516","15,218,397","15,601,209","14,475,677","13,525,412","14,736,067","15,892,088","14,904,642","15,088,301","14,255,961","13,613,585","13,404,332","13,329,331","13,372,903","15,509,055","1,592,114","13,725,475","1,338,197"
Antigua and Barbuda,"12,311,414","12,101,549","12,046,547","11,153,177","11,388,064","12,459,365","11,594,234","11,629,347","11,368,849","11,106,284","7,072,658","7,243,182","8,110,568","8,338,845","801,117","7,801,813","7,879,653","7,888,662","8,493,798","11,132,927","12,635,893","9,819,468","10,121,302","1,168,013","12,317,929","12,632,014","13,132,192","11,279,651","1,123,029","12,568,489","12,560,846","1,284,306","11,774,965","11,953,113"
