,,,,,,,,,,,,,
,Emisi Karbon,,,,,,,GDP,,,,,
,Negara,2019,2020,2021,2022,2023,,Negara,2019,2020,2021,2022,2023
,Moldova,"910,635,514","884,480,949","964,700,836","945,707,931","992,822,004",,Moldova,11736797055,11530746234,13691869264,14510490660,16539436547
,Mozambique,"862,743,083","79,798,751","928,849,571","10,028,171","974,008,031",,Mozambique,15512759047,14235420174,16168055475,18883528581,20954220984
,Oman,"863,502,041","821,974,264","880,744,811","909,704,155","930,941,884",,Oman,88060858257,75909492848,87323797139,1.12E+16,1.09E+16
,Czechia,"103,303,247","943,915,667","991,480,776","994,325,451","905,128,035",,Czechia,2.57E+16,2.51E+15,2.91E+16,3.02E+16,3.43E+16
,Uruguay,"71,380,119","689,568,029","853,411,969","871,040,447","881,727,876",,Uruguay,62222325807,53668636568,60760798596,70164683290,77240830877
,North Macedonia,"8,683,448","758,600,183","76,537,546","838,401,749","876,365,505",,North Macedonia,12606338449,12361036914,14000283827,13932436550,15763621848
,Afghanistan,"724,906,857","705,413,297","793,078,103","825,991,526","870,734,983",,Afghanistan,18799444490,19955929052,14259995441,14497243872,17233051620
,Belgium,"998,824,841","922,670,201","962,510,061","897,392,646","843,060,646",,Belgium,5.37E+16,5.30E+16,5.98E+16,5.93E+16,6.45E+16
,Chile,"952,151,559","874,781,954","890,742,915","888,450,338","839,992,317",,Chile,2.78E+16,2.54E+16,3.16E+16,3.02E+16,3.36E+16
,El Salvador,"81,039,971","665,395,232","753,138,423","791,804,979","837,961,857",,El Salvador,26881140000,24921190000,29043140000,31988920000,34015620000
,Paraguay,"849,686,674","794,001,301","89,595,064","817,866,901","825,393,827",,Paraguay,37925338329,35432178068,39950899939,41952910858,42956263544
,Zambia,"702,669,046","747,724,303","776,464,584","780,699,832","805,897,939",,Zambia,23308667781,18137764931,22096416932,29163782140,27577956471
,Iran,"696,776,764","712,362,502","73,858,291","760,553,691","778,802,299",,Iran,3.34E+16,2.62E+16,3.83E+16,3.94E+16,4.05E+16
,Botswana,"73,370,794","608,847,058","659,640,356","728,265,675","742,469,822",,Botswana,16725908149,14960291106,18750946600,20321958850,19396084498
,Congo,"720,204,882","736,859,494","701,883,379","771,959,041","725,078,981",,Congo,51775829877,48716961860,55328482784,65801547620,66383287003
,Romania,"811,524,733","757,039,904","804,074,183","759,817,908","707,733,086",,Romania,2.52E+16,2.52E+16,2.87E+16,2.96E+16,3.51E+16
,Luxembourg,"961,858,677","794,587,582","832,516,412","726,295,999","700,746,261",,Luxembourg,69890505324,73699366700,85584105994,81641807866,85755006124
,Jamaica,"843,730,481","589,015,617","643,913,076","636,899,937","686,473,268",,Jamaica,15830766571,13812421803,14657586127,17097760724,19423355409
,Indonesia,"637,310,073","594,263,383","619,327,412","656,669,202","674,535,939",,Indonesia,1.12E+16,1.06E+17,1.19E+17,1.32E+17,1.37E+17
,Mali,"624,532,196","647,870,984","659,864,204","684,511,455","666,068,125",,Mali,17280250810,17465392764,19309463508,18780322204,20661794596
,Latvia,"785,437,145","722,279,337","742,712,775","665,792,388","655,110,016",,Latvia,33099503951,33379927435,38185125733,38018905782,42247850065
,Malawi,"558,507,357","524,932,029","622,712,028","594,775,462","644,768,015",,Malawi,11051865580,11769313598,12378129751,12429060151,12712150082
,Benin,"80,279,029","857,473,121","645,782,907","661,897,968","643,789,566",,Benin,11051865580,11769313598,12378129751,12429060151,12712150082
,Saudi Arabia,"580,517,293","570,892,278","584,508,296","605,257,618","622,913,601",,Saudi Arabia,8.39E+16,7.34E+16,8.74E+16,1.11E+17,1.07E+17
,Libya,"578,185,181","458,166,624","560,040,454","570,466,017","612,585,953",,Libya,69254496472,46854285441,35217995647,43246297922,45096462972
